d,Z,L,KE,At.Risk,X.T,CA,error,ion,nn,Z.b,beta,Nweight,MeH_#,X,X.1,X.2,X.3,year,added
0,,195,450,1048,0,0,0,Fe450,56,1240.962058,0.738064125,111111.11,J218,6,1,0,1,Nov5.12,
0.02,26,195,450,1159,4,0.003451251,0.001722645,Fe450,56,1240.962058,0.738064125,336983.2639,J218,3,3,1,2,Nov5.12,
0.04,26,195,450,1246,3,0.002407705,0.001388414,Fe450,56,1240.962058,0.738064125,518754.3406,J218,5,2,1,2,Nov5.12,
0.06,26,195,450,1241,4,0.003223207,0.001609004,Fe450,56,1240.962058,0.738064125,386265.2629,J218,2,3,0,3,Nov5.12,
0.08,26,195,450,1223,6,0.004905969,0.001997934,Fe450,56,1240.962058,0.738064125,250517.1962,J218,8,3,1,3,Nov5.12,
0.1,26,195,450,1225,10,0.008163265,0.002570893,Fe450,56,1240.962058,0.738064125,151297.5823,J218,6,5,4,2,Nov5.12,
0.2,26,195,450,1077,10,0.009285051,0.002922528,Fe450,56,1240.962058,0.738064125,117079.9937,J218,4,5,1,1,Nov5.12,
0.4,26,195,450,987,19,0.019250253,0.004373597,Fe450,56,1240.962058,0.738064125,52278.42557,J218,,,,,,
0,,240,300,1215,2,0.001646091,0.001163003,Fe300,56,1582.284822,0.653628555,739329.5033,J238(2),,,,,,
0.005,26,240,300,1008,5,0.004960317,0.002212813,Fe300,56,1582.284822,0.653628555,204225.8249,J238(2),,,,,,
0.01,26,240,300,1012,6,0.005928854,0.002413259,Fe300,56,1582.284822,0.653628555,171708.7025,J238(2),,,,,,
0.02,26,240,300,1012,5,0.004940711,0.002204088,Fe300,56,1582.284822,0.653628555,205845.8248,J238(2),,,,,,
0.04,26,240,300,1017,4,0.003933137,0.001962697,Fe300,56,1582.284822,0.653628555,259593.2658,J238(2),,,,,,
0.07,26,240,300,1018,6,0.00589391,0.002399077,Fe300,56,1582.284822,0.653628555,173744.7022,J238(2),,,,,,
0.1,26,240,300,1021,5,0.00489716,0.002184707,Fe300,56,1582.284822,0.653628555,209514.2246,J238(2),,,,,,
0.2,26,240,300,1019,18,0.017664377,0.004126597,Fe300,56,1582.284822,0.653628555,58724.0459,J238(2),,,,,,
0.4,26,240,300,1036,26,0.025096525,0.004859681,Fe300,56,1582.284822,0.653628555,42343.28469,J238(2),,,,,,
0.8,26,240,300,256,24,0.09375,0.018217537,Fe300,56,1582.284822,0.653628555,3013.149425,J238(2),,,,,,
0,,173,600,1109,1,0.000901713,0.000901307,Fe600,56,1073.888133,0.793402978,1230991.001,J217-2,,,,,,
0.01,26,173,600,1301,5,0.003843198,0.001715424,Fe600,56,1073.888133,0.793402978,339826.2193,J217-2,,,,,,
0.02,26,173,600,1236,8,0.006472492,0.002280954,Fe600,56,1073.888133,0.793402978,192206.0521,J217-2,,,,,,
0.04,26,173,600,1264,10,0.007911392,0.002491886,Fe600,56,1073.888133,0.793402978,161043.6797,J217-2,,,,,,
0.05,26,173,600,1014,8,0.007889546,0.002778351,Fe600,56,1073.888133,0.793402978,129546.5636,P-24,,,,,,
0.06,26,173,600,1270,12,0.009448819,0.002714722,Fe600,56,1073.888133,0.793402978,135690.4478,J217-2,,,,,,
0.08,26,173,600,1299,14,0.010777521,0.00286485,Fe600,56,1073.888133,0.793402978,121841.7954,J217-2,,,,,,
0.1,26,173,600,1281,8,0.006245121,0.002201078,Fe600,56,1073.888133,0.793402978,206409.1753,J217-2,,,,,,
0.2,26,173,600,1232,24,0.019480519,0.003937522,Fe600,56,1073.888133,0.793402978,64499.14349,J217-2,,,,,,
0,26,173,600,1215,2,0.001646091,0.001163003,Fe600,56,1073.888133,0.793402978,739329.5033,J238(1),,,,,,
0.005,26,173,600,1012,3,0.002964427,0.001708974,Fe600,56,1073.888133,0.793402978,342396.3423,J238(1),,,,,,
0.01,26,173,600,1032,4,0.003875969,0.001934225,Fe600,56,1073.888133,0.793402978,267292.0156,J238(1),,,,,,
0.02,26,173,600,1221,8,0.006552007,0.002308883,Fe600,56,1073.888133,0.793402978,187584.1778,J238(1),,,,,,
0.04,26,173,600,1347,9,0.006681514,0.002219719,Fe600,56,1073.888133,0.793402978,202957.0605,J238(1),,,,,,
0.07,26,173,600,1221,10,0.008190008,0.002579281,Fe600,56,1073.888133,0.793402978,150315.1826,J238(1),,,,,,
0.1,26,173,600,1037,8,0.007714561,0.002716968,Fe600,56,1073.888133,0.793402978,135466.1872,J238(1),,,,,,
0.2,26,173,600,1022,15,0.014677104,0.003761699,Fe600,56,1073.888133,0.793402978,70669.4901,J238(1),,,,,,
0.4,26,173,600,734,17,0.023160763,0.005551878,Fe600,56,1073.888133,0.793402978,32442.93248,J238(1),,,,,,
0.8,26,173,600,144,11,0.076388889,0.022134944,Fe600,56,1073.888133,0.793402978,2041.000684,J238(1),,,,,,
0,26,173,600,1065,2,0.001877934,0.001326653,Fe600,56,1073.888133,0.793402978,568179.5038,J244,,,,,,
0.02,26,173,600,1044,4,0.003831418,0.001912035,Fe600,56,1073.888133,0.793402978,273532.0154,J244,,,,,,
0.04,26,173,600,1030,8,0.00776699,0.002735361,Fe600,56,1073.888133,0.793402978,133650.5626,J244,,,,,,
0.06,26,173,600,1157,20,0.017286085,0.003831733,Fe600,56,1073.888133,0.793402978,68109.8018,J244,,,,,,
0.08,26,173,600,1341,22,0.016405667,0.00346889,Fe600,56,1073.888133,0.793402978,83103.4124,J244,,,,,,
0.1,26,173,600,1175,43,0.036595745,0.00547773,Fe600,56,1073.888133,0.793402978,33327.19153,J244,,,,,,
0.2,26,173,600,1090,34,0.031192661,0.005265404,Fe600,56,1073.888133,0.793402978,36069.21234,J244,,,,,,
0.4,26,173,600,497,34,0.068410463,0.011323883,Fe600,56,1073.888133,0.793402978,7798.467348,J244,,,,,,
0.8,26,173,600,197,39,0.197969543,0.028389746,Fe600,56,1073.888133,0.793402978,1240.729146,J244,,,,,,
0,26,173,600,759,1,0.001317523,0.001316655,Fe600,56,1073.888133,0.793402978,576841.0013,J221,,,,,,
0.02,26,173,600,1022,3,0.002935421,0.001692277,Fe600,56,1073.888133,0.793402978,349186.3422,J221,,,,,,
0.04,26,173,600,793,3,0.003783102,0.00218004,Fe600,56,1073.888133,0.793402978,210412.3447,J221,,,,,,
0.06,26,173,600,1012,7,0.006916996,0.002605321,Fe600,56,1073.888133,0.793402978,147325.3345,J221,,,,,,
0.08,26,173,600,448,1,0.002232143,0.00222965,Fe600,56,1073.888133,0.793402978,201153.0022,J221,,,,,,
0.1,26,173,600,1033,5,0.004840271,0.00215939,Fe600,56,1073.888133,0.793402978,214455.8243,J221,,,,,,
0.12,26,173,600,1046,8,0.007648184,0.002693681,Fe600,56,1073.888133,0.793402978,137818.5617,J221,,,,,,
0.2,26,173,600,574,5,0.008710801,0.003878585,Fe600,56,1073.888133,0.793402978,66474.24394,J221,,,,,,
0.4,26,173,600,449,10,0.022271715,0.006964064,Fe600,56,1073.888133,0.793402978,20619.32779,J221,,,,,,
0.8,26,173,600,459,23,0.050108932,0.010183291,Fe600,56,1073.888133,0.793402978,9643.256781,J221,,,,,,
