"d","CA","CI_lower","CI_upper","simpleeffect","oxygen","silicon","titanium","ironsix","ironfour","ironthree"
0,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071
0.001,0.01086353770707,0.00976002964473681,0.0119056215270262,0.054647748529837,0.0102264764896214,0.0108318999720368,0.010803504357857,0.00970368003775398,0.00907458150065854,0.0075651964004277
0.002,0.0109151688422894,0.00981151691884614,0.0119564393779885,0.0546484039609562,0.0102341894445867,0.0108371214107176,0.0108073020240671,0.00970624798159364,0.00907685240917305,0.00756689019462043
0.003,0.0109696318132813,0.00986558583960913,0.0120094725275111,0.054649489872477,0.0102469168000253,0.0108457588938063,0.0108135936462172,0.00971050959258838,0.00908062273125472,0.00756970437663716
0.004,0.0110266528334511,0.00991758363001245,0.0120645732470079,0.0546510083365868,0.0102645563235909,0.0108577601285812,0.0108223486617449,0.00971645003404713,0.0090858806767306,0.00757363178616119
0.005,0.0110860208644127,0.00996915175406632,0.0121219480040688,0.054652958311606,0.0102870076334999,0.0108730735332589,0.0108335368407774,0.00972405458475183,0.00909261453779891,0.00757866530353776
0.006,0.0111475946037464,0.0100307107376992,0.0121811343177637,0.0546553387583554,0.0103141721671419,0.010891648227936,0.0108471282827371,0.00973330863811501,0.00910081268848963,0.00758479784955766
0.007,0.0112111829151793,0.0100751030623284,0.0122507968342528,0.0546581486401512,0.0103459531502005,0.0109134340256416,0.010863093412981,0.00974419770134337,0.00911046358412849,0.00759202238524185
0.008,0.0112767360228031,0.0101102727855971,0.0123190144732318,0.0546613869227979,0.0103822555662775,0.0109383814234993,0.0108814029794723,0.0097567073946071,0.00912155576080428,0.00760033191162723
0.009,0.0113442041507099,0.0101610426730046,0.0123846324710664,0.054665052574583,0.010422986127012,0.0109664415939973,0.010902028049485,0.00977082345021507,0.00913407783483958,0.00760971946955351
0.01,0.0114135375229915,0.0102303322475947,0.0124517722190953,0.0546691445662708,0.0104680532426861,0.0109975663763655,0.010924940006341,0.00978653171179585,0.00914801850226477,0.00762017813945112
0.02,0.0121997108251709,0.0109362840583789,0.0132348129877987,0.0547332885047496,0.0111382432181008,0.0114672324611462,0.0112737622815196,0.0100281492367384,0.00936301689413699,0.00778218157977894
