,d,CA,error,ion,Z,L,Z.b
1,0.005,1.23,0.55,Fe300,26,240,1585
2,0.01,1.47,0.6,Fe300,26,240,1585
3,0.02,1.22,0.55,Fe300,26,240,1585
4,0.04,0.97,0.49,Fe300,26,240,1585
5,0.07,1.46,0.6,Fe300,26,240,1585
6,0.1,1.21,0.54,Fe300,26,240,1585
7,0.2,4.38,1.03,Fe300,26,240,1585
8,0.4,6.22,1.22,Fe300,26,240,1585
9,0.8,13.6,3.62,Fe300,26,240,1585
