,d,CA,error,ion,Z,L,Z.b
1,0.02,1.26,0.05,Si,14,100,690
2,0.04,1.14,0.07,Si,14,100,690
3,0.06,1.58,0.56,Si,14,100,690
4,0.08,1.22,0.18,Si,14,100,690
5,0.1,1.89,0.6,Si,14,100,690
6,0.12,3.47,1.23,Si,14,100,690
7,0.2,4.6,1.6,Si,14,100,690
8,0.4,9.79,1.55,Si,14,100,690
9,0.8,27.01,4.27,Si,14,100,690
10,1.2,38.84,7.21,Si,14,100,690
