"","d","Z","L","KE","At.Risk","CA","error","ion","nn","Z.b","beta","Nweight","Comment","X","X.1","X.2","X.3","year","tumor"
"43",0.8,26,240,300,256,0.135515625,0.0352138131040032,"Fe300",56,1582.284822,0.653628555,806.443396725442,NA,5,5,1,3,2014,14
"44",0,26,175,600,1109,0.002234445,0.00223343780460737,"Fe600",56,1073.888133,0.793402978,200471.331071382,NA,0,0,0,1,2014,1
"45",0.01,26,175,600,1301,0.009523444,0.00425082141803744,"Fe600",56,1073.888133,0.793402978,55341.9273285499,NA,2,1,0,2,2014,5
"46",0.02,26,175,600,1236,0.016038835,0.00565220328085265,"Fe600",56,1073.888133,0.793402978,31301.4498722355,NA,2,1,2,3,2014,8
"47",0.04,26,175,600,1264,0.01960443,0.00617489332599516,"Fe600",56,1073.888133,0.793402978,26226.5449669467,NA,2,4,0,4,2014,10
"48",0.06,26,175,600,1270,0.023414173,0.00672708111122999,"Fe600",56,1073.888133,0.793402978,22097.6795641422,NA,2,4,1,5,2014,12
"49",0.08,26,175,600,1299,0.026706697,0.00709909776524902,"Fe600",56,1073.888133,0.793402978,19842.3764944792,NA,3,4,1,6,2014,14
"50",0.12,26,175,600,1281,0.027081967,0.00719829983645393,"Fe600",56,1073.888133,0.793402978,19299.2367859166,NA,5,2,0,7,2014,14
"51",0.2,26,175,600,1232,0.048272727,0.00975718025584366,"Fe600",56,1073.888133,0.793402978,10503.9185002125,NA,5,5,6,8,2014,24
"52",0,26,175,600,1215,0.004079012,0.00288192240521713,"Fe600",56,1073.888133,0.793402978,120402.480211268,NA,1,0,0,1,2014,2
"53",0.005,26,175,600,1012,0.00734585,0.00423483743766818,"Fe600",56,1073.888133,0.793402978,55760.481136838,NA,3,0,0,0,2014,3
"54",0.01,26,175,600,1032,0.009604651,0.00479300971310502,"Fe600",56,1073.888133,0.793402978,43529.470244398,NA,0,2,2,0,2014,4
"55",0.02,26,175,600,1221,0.016235872,0.00572141170397209,"Fe600",56,1073.888133,0.793402978,30548.7609383475,NA,6,1,0,1,2014,8
"56",0.04,26,175,600,1347,0.016556793,0.00550046264836763,"Fe600",56,1073.888133,0.793402978,33052.2904282653,NA,3,3,1,2,2014,9
"57",0.07,26,175,600,1221,0.02029484,0.00639145709189955,"Fe600",56,1073.888133,0.793402978,24479.3704496882,NA,5,2,1,2,2014,10
"58",0.1,26,175,600,1037,0.019116683,0.0067326470589177,"Fe600",56,1073.888133,0.793402978,22061.1579146378,NA,2,3,0,3,2014,8
"59",0.2,26,175,600,1022,0.036369863,0.00932148968111099,"Fe600",56,1073.888133,0.793402978,11508.781734895,NA,8,3,1,3,2014,15
"60",0.4,26,175,600,734,0.057392371,0.0137575547775689,"Fe600",56,1073.888133,0.793402978,5283.44874444832,NA,6,5,4,2,2014,17
"61",0.8,26,175,600,144,0.189291667,0.0548503908961658,"Fe600",56,1073.888133,0.793402978,332.384333796326,NA,4,5,1,1,2014,11
