,d,CA,error,ion,Z,L,Z.b
1,0.02,1.99,0.7,Ti,22,125,770
2,0.04,1.88,0.66,Ti,22,125,770
3,0.06,1.44,0.59,Ti,22,125,770
4,0.08,2.67,0.8,Ti,22,125,770
5,0.1,2.57,0.78,Ti,22,125,770
6,0.15,2.5,0.48,Ti,22,125,770
7,0.3,5.64,1.15,Ti,22,125,770
8,0.6,11.19,2.39,Ti,22,125,770
