,d,CA,error,ion,Z,L,Z.b
1,0.01,0.76,0.38,Fe600,26,175,1075
2,0.02,0.99,0.24,Fe600,26,175,1075
3,0.04,1.2,0.21,Fe600,26,175,1075
4,0.06,1.74,0.43,Fe600,26,175,1075
5,0.08,1.28,0.37,Fe600,26,175,1075
6,0.1,1.2,0.54,Fe600,26,175,1075
7,0.12,1.7,0.17,Fe600,26,175,1075
8,0.2,3.02,0.55,Fe600,26,175,1075
9,0.4,5.52,1.75,Fe600,26,175,1075
10,0.8,12.42,2.59,Fe600,26,175,1075
